Processor,Brand,Ram_GB,Rom_GB,Battery_Capacity,Display_Quality,Android,Version,Price
Snapdragon,Samsung,6,128,5000,LCD,1,13,16890
Samsung,Samsung,8,256,5000,AMOLED,1,14,28999
Snapdragon,vivo,12,256,4700,AMOLED,1,12,59999
MediaTek,Samsung,8,128,5000,AMOLED,1,14,16499
MediaTek,vivo,8,128,4000,AMOLED,1,11,19999
MediaTek,Samsung,6,128,6000,AMOLED,1,14,13999
Samsung,Samsung,8,256,5000,AMOLED,1,15,41999
Samsung,Samsung,4,128,6000,LCD,1,13,11990
MediaTek,Samsung,6,128,5000,AMOLED,1,14,15999
MediaTek,vivo,6,128,6000,LCD,1,15,11459
Snapdragon,Samsung,6,128,5000,AMOLED,1,11,23749
Snapdragon,Samsung,12,512,5000,AMOLED,1,15,129999
MediaTek,Infinix,6,128,5500,AMOLED,1,15,14999
MediaTek,vivo,8,128,4500,AMOLED,1,12,22990
MediaTek,Infinix,12,256,4600,AMOLED,1,14,22999
Snapdragon,Galaxy,12,256,4400,AMOLED,1,13,102222
MediaTek,vivo,12,256,4870,AMOLED,1,13,59980
MediaTek,vivo,4,64,5000,LCD,1,14,14890
Samsung,Samsung,8,128,4000,AMOLED,1,14,43481
MediaTek,Samsung,4,64,6000,AMOLED,1,11,9149
MediaTek,Samsung,8,128,5000,AMOLED,1,14,13499
MediaTek,Infinix,4,128,5000,LCD,1,13,14999
Samsung,Samsung,6,128,5000,AMOLED,1,15,20950
Snapdragon,Samsung,6,128,4500,AMOLED,1,11,30999
MediaTek,vivo,8,128,4500,AMOLED,1,13,17990
MediaTek,vivo,8,128,4500,AMOLED,1,12,42990
Snapdragon,Samsung,8,256,5000,AMOLED,1,15,30999
Snapdragon,vivo,8,256,6000,AMOLED,1,15,36999
Snapdragon,vivo,8,256,5500,AMOLED,1,14,24999
Snapdragon,Samsung,12,512,5000,AMOLED,1,14,119999
Snapdragon,Samsung,12,256,4400,AMOLED,1,12,154999
Samsung,Samsung,8,256,5000,AMOLED,1,15,30999
Snapdragon,Samsung,8,256,4500,AMOLED,1,13,33999
MediaTek,vivo,12,256,5500,AMOLED,1,14,31999
MediaTek,vivo,8,128,4300,AMOLED,1,12,28995
MediaTek,vivo,16,512,6500,AMOLED,1,15,59999
Samsung,Samsung,8,256,5000,AMOLED,1,15,30999
Snapdragon,Samsung,8,128,3300,AMOLED,1,11,44444
Snapdragon,Samsung,8,256,5000,AMOLED,1,14,19980
MediaTek,vivo,8,256,5600,AMOLED,1,15,30999
Samsung,Samsung,12,256,5000,AMOLED,1,14,33999
MediaTek,Samsung,4,64,5000,LCD,1,13,8988
MediaTek,Samsung,4,64,6000,AMOLED,1,11,13399
Snapdragon,Samsung,8,256,4500,AMOLED,1,12,34000
Samsung,Samsung,8,128,5000,AMOLED,1,15,18999
MediaTek,vivo,12,512,5500,AMOLED,1,14,46990
MediaTek,vivo,4,128,5000,LCD,1,14,12999
Samsung,Samsung,8,128,5000,AMOLED,1,15,16499
Snapdragon,vivo,4,128,5000,AMOLED,1,12,13290
MediaTek,vivo,6,128,5500,LCD,1,14,14449
Snapdragon,vivo,8,128,4500,AMOLED,1,13,14999
Snapdragon,vivo,8,256,6500,LCD,1,15,18999
Snapdragon,Samsung,12,1,5000,AMOLED,1,15,153999
MediaTek,Infinix,8,128,5500,LCD,1,15,12010
Samsung,Samsung,6,128,6000,AMOLED,1,13,19999
Samsung,Samsung,8,256,4000,AMOLED,1,16,89999
MediaTek,Samsung,6,128,5000,AMOLED,1,14,12405
Samsung,Samsung,12,256,5000,AMOLED,1,15,44999
Snapdragon,Galaxy,8,256,3700,AMOLED,1,13,64999
MediaTek,Samsung,8,256,5000,AMOLED,1,14,20499
Snapdragon,Samsung,12,256,5000,AMOLED,1,14,25990
Snapdragon,Samsung,12,512,4400,AMOLED,1,16,174999
Samsung,Samsung,8,256,5000,AMOLED,1,15,21999
MediaTek,Infinix,12,256,5000,AMOLED,1,13,17770
MediaTek,Samsung,6,128,4050,LCD,1,14,27208
Snapdragon,Samsung,12,256,5000,AMOLED,1,15,36999
MediaTek,Samsung,6,128,5000,LCD,1,11,18999
MediaTek,Samsung,6,128,5000,LCD,1,15,10999
MediaTek,Infinix,4,64,5000,LCD,1,13,7299
Snapdragon,Samsung,12,256,5000,AMOLED,1,14,26999
MediaTek,Samsung,4,64,5000,LCD,1,10,12649
Samsung,Samsung,4,64,5000,LCD,1,12,10999
MediaTek,vivo,8,128,5000,AMOLED,1,12,19980
Snapdragon,Samsung,8,128,3700,AMOLED,1,12,89999
MediaTek,Samsung,6,128,5000,LCD,1,15,12999
Snapdragon,Samsung,6,128,5000,LCD,1,13,14990
MediaTek,Infinix,12,256,5000,LCD,1,14,13999
Samsung,Samsung,4,64,6000,LCD,1,11,9449
MediaTek,vivo,4,64,5000,LCD,1,12,11999
Snapdragon,Samsung,4,64,5000,LCD,1,13,8999
MediaTek,Infinix,8,128,5000,LCD,1,14,10489
Snapdragon,Samsung,12,512,3900,AMOLED,1,15,121999
MediaTek,vivo,8,256,5500,AMOLED,1,14,28999
MediaTek,vivo,4,128,5500,LCD,1,15,11499
Snapdragon,Samsung,12,512,4000,AMOLED,1,15,92999
MediaTek,Samsung,6,128,6000,AMOLED,1,11,15399
Samsung,Samsung,8,256,5000,AMOLED,1,13,28905
Snapdragon,vivo,8,128,5000,LCD,1,12,13980
Snapdragon,Samsung,12,512,4400,AMOLED,1,14,176999
Snapdragon,Samsung,12,256,4400,AMOLED,1,11,149999
MediaTek,vivo,6,128,5000,LCD,1,13,11994
Samsung,Samsung,8,256,5000,AMOLED,1,14,20155
MediaTek,Samsung,8,128,6000,AMOLED,1,14,15899
MediaTek,vivo,6,128,5500,LCD,1,15,12099
Snapdragon,Samsung,12,512,5000,AMOLED,1,13,134999
MediaTek,vivo,6,128,5000,LCD,1,14,11499
MediaTek,vivo,16,512,5000,AMOLED,1,14,49999
Snapdragon,vivo,8,128,5000,LCD,1,13,21000
Samsung,Samsung,4,64,6000,LCD,1,11,11499
Snapdragon,vivo,6,128,6000,LCD,1,14,13999
MediaTek,Samsung,6,128,5000,AMOLED,1,11,18149
MediaTek,vivo,16,512,5800,AMOLED,1,15,71999
MediaTek,Infinix,4,128,6000,LCD,1,13,12999
Samsung,Samsung,12,512,4300,AMOLED,1,16,109999
Snapdragon,Samsung,12,1,5000,AMOLED,1,14,159999
MediaTek,vivo,4,64,5000,LCD,1,13,7399
Snapdragon,Samsung,12,512,4900,AMOLED,1,15,111999
MediaTek,Samsung,8,128,5000,AMOLED,1,12,25499
Snapdragon,Samsung,3,32,5000,LCD,1,10,12900
Samsung,Samsung,8,256,4500,AMOLED,1,13,45999
MediaTek,Samsung,8,256,5000,AMOLED,1,13,24999
Snapdragon,vivo,12,256,4600,AMOLED,1,13,27499
Samsung,Samsung,12,512,4900,AMOLED,1,14,109999
Samsung,Samsung,8,128,5000,LCD,1,13,17999
MediaTek,vivo,8,256,5000,AMOLED,1,14,18499
MediaTek,vivo,12,256,4810,AMOLED,1,13,48778
Snapdragon,vivo,8,256,4800,AMOLED,1,13,19970
Snapdragon,vivo,8,256,5000,AMOLED,1,13,26990
MediaTek,Samsung,3,32,5000,LCD,1,12,8999
MediaTek,vivo,12,256,4300,AMOLED,1,12,39900
MediaTek,Samsung,8,256,5000,AMOLED,1,14,22499
Snapdragon,vivo,8,256,5000,AMOLED,1,14,22999
MediaTek,Infinix,8,128,5000,LCD,1,12,10990
MediaTek,vivo,6,128,5000,LCD,1,13,12999
Snapdragon,Samsung,8,256,5000,AMOLED,1,14,22590
MediaTek,vivo,3,32,5000,LCD,1,12,9490
Samsung,Samsung,4,64,6000,LCD,1,12,8999
MediaTek,Samsung,8,128,5000,AMOLED,1,13,23990
Snapdragon,Samsung,12,512,4400,AMOLED,1,12,94990
Snapdragon,vivo,8,256,5000,AMOLED,1,14,32900
MediaTek,vivo,8,128,5500,LCD,1,14,16999
Samsung,Samsung,8,128,5000,AMOLED,1,12,28500
Samsung,Samsung,8,128,5000,AMOLED,1,12,35999
MediaTek,Samsung,6,128,5000,AMOLED,1,14,17999
MediaTek,vivo,6,128,5000,LCD,1,14,13999
Snapdragon,Samsung,12,1,5000,AMOLED,1,13,154999
Snapdragon,Samsung,12,1,5000,AMOLED,1,12,134999
