Processor,Brand,Ram_GB,Rom_GB,Battery_Capacity,Display_Quality,Android,Version,Price
MediaTek,Infinix,6,64,5000,AMOLED,1,12,15999
MediaTek,vivo,4,64,5000,LCD,1,11,12625
MediaTek,vivo,4,32,5000,LCD,1,8,9990
Snapdragon,vivo,4,128,5000,LCD,1,11,13480
Snapdragon,vivo,8,256,5500,AMOLED,1,14,25480
Snapdragon,Samsung,12,512,5000,AMOLED,1,12,84753
MediaTek,Infinix,4,64,5000,LCD,1,9,9999
MediaTek,Infinix,4,64,5000,LCD,1,10,9599
Samsung,Samsung,3,32,5000,LCD,1,6,12999
Snapdragon,Samsung,6,128,5000,AMOLED,1,9,31000
MediaTek,vivo,8,128,5000,LCD,1,13,14999
MediaTek,vivo,8,128,5000,LCD,1,11,15490
MediaTek,vivo,4,128,5000,LCD,1,11,13890
MediaTek,vivo,8,128,5000,LCD,1,14,17999
Samsung,Samsung,6,128,6000,AMOLED,1,10,14499
Samsung,Samsung,3,32,5000,AMOLED,1,8,11500
MediaTek,Samsung,2,32,5000,LCD,1,10,6117
Samsung,Samsung,8,256,5000,AMOLED,1,12,25999
MediaTek,Infinix,4,64,5000,LCD,1,10,14999
MediaTek,Infinix,4,64,5000,LCD,1,12,13208
MediaTek,Infinix,8,128,5000,LCD,1,12,17999
MediaTek,vivo,2,32,5000,LCD,1,11,7999
MediaTek,vivo,12,256,4600,AMOLED,1,13,35999
MediaTek,vivo,12,256,4500,AMOLED,1,12,39999
Snapdragon,vivo,3,32,5000,LCD,1,9,10990
Snapdragon,vivo,2,16,5000,LCD,1,8,9990
Snapdragon,vivo,8,256,4000,AMOLED,1,11,28990
Samsung,Samsung,2,32,5000,LCD,1,9,8700
Snapdragon,Samsung,4,64,5000,LCD,1,8,12999
Snapdragon,Samsung,8,256,3700,AMOLED,1,12,45999
Snapdragon,Samsung,2,8,5000,LCD,1,5,5999
Samsung,Samsung,3,32,5000,AMOLED,1,4,43092
MediaTek,Infinix,8,256,5000,LCD,1,13,15999
MediaTek,Infinix,8,128,6000,LCD,1,13,11999
MediaTek,Infinix,6,64,5000,LCD,1,11,13999
MediaTek,Infinix,4,64,5000,LCD,1,9,8999
MediaTek,vivo,2,32,5000,LCD,1,11,9490
Snapdragon,vivo,8,128,5000,LCD,1,12,19990
Samsung,Samsung,8,128,6000,AMOLED,1,10,20999
Samsung,Samsung,8,512,3400,AMOLED,1,9,92000
Samsung,Samsung,1,8,5000,LCD,1,8,6299
Snapdragon,Samsung,4,64,5000,LCD,1,10,10190
Snapdragon,Samsung,8,128,5000,AMOLED,1,9,30500
MediaTek,Infinix,4,64,5000,LCD,1,10,10499
MediaTek,Infinix,4,64,6000,LCD,1,11,9999
MediaTek,Infinix,2,32,5000,LCD,1,10,6499
MediaTek,Infinix,6,128,5000,LCD,1,12,15321
MediaTek,Infinix,3,32,5000,LCD,1,10,9999
MediaTek,Infinix,4,64,5000,LCD,1,10,11999
Snapdragon,vivo,8,256,5000,AMOLED,1,11,30989
Snapdragon,vivo,8,256,5000,AMOLED,1,10,26990
MediaTek,vivo,4,128,5000,LCD,1,13,15999
Snapdragon,vivo,8,128,5000,AMOLED,1,9,34990
Snapdragon,vivo,8,128,5000,AMOLED,1,11,24990
Snapdragon,vivo,8,128,6000,LCD,1,14,15499
Snapdragon,vivo,4,128,5000,AMOLED,1,9,15990
Snapdragon,vivo,2,16,5000,LCD,1,6,9990
MediaTek,vivo,6,128,5000,LCD,1,13,12850
Samsung,Samsung,1,16,5000,LCD,1,8,6599
Samsung,Samsung,6,64,5000,AMOLED,1,9,24000
Snapdragon,Samsung,2,32,5000,LCD,1,8,9000
Snapdragon,Samsung,8,128,5000,AMOLED,1,11,21999
Samsung,Samsung,4,64,5000,AMOLED,1,8,17999
Snapdragon,Samsung,8,256,5000,AMOLED,1,12,41300
MediaTek,Infinix,3,32,5000,LCD,1,10,8299
MediaTek,Infinix,8,128,4500,LCD,1,10,18999
MediaTek,Infinix,3,32,5000,LCD,1,9,9999
MediaTek,Infinix,3,32,5000,LCD,1,8,6949
MediaTek,Infinix,4,64,5000,AMOLED,1,12,10999
MediaTek,Infinix,4,64,6000,LCD,1,11,9999
MediaTek,Infinix,2,32,5000,LCD,1,9,7999
Snapdragon,Infinix,3,32,5000,LCD,1,8,10999
MediaTek,Infinix,8,256,5000,AMOLED,1,12,16999
MediaTek,Infinix,4,64,5000,LCD,1,10,9499
MediaTek,Infinix,3,64,5000,LCD,1,12,8299
MediaTek,Infinix,4,64,5000,LCD,1,8,16999
Snapdragon,vivo,3,64,5000,LCD,1,10,11674
Snapdragon,vivo,3,64,5000,LCD,1,10,8990
MediaTek,vivo,4,64,5000,LCD,1,8,16990
MediaTek,vivo,3,32,5000,LCD,1,12,9189
Snapdragon,vivo,3,32,5000,LCD,1,8,10990
Snapdragon,vivo,6,128,5000,LCD,1,12,14999
Snapdragon,vivo,6,128,5000,LCD,1,11,19989
Snapdragon,vivo,12,256,4300,AMOLED,1,11,46990
Snapdragon,vivo,6,64,5000,LCD,1,10,17990
MediaTek,vivo,2,32,5000,LCD,1,10,9990
MediaTek,vivo,12,256,4450,AMOLED,1,11,32899
MediaTek,vivo,3,32,5000,LCD,1,10,9490
MediaTek,vivo,2,32,5000,LCD,1,8,9990
Snapdragon,vivo,6,128,5000,AMOLED,1,8,36990
MediaTek,Samsung,4,64,6000,AMOLED,1,12,10999
Samsung,Samsung,4,128,6000,LCD,1,12,10499
Snapdragon,Samsung,6,128,5000,AMOLED,1,11,21450
Snapdragon,Galaxy,12,1,4400,AMOLED,1,13,189999
Samsung,Samsung,4,128,5000,LCD,1,12,13949
Snapdragon,Samsung,2,16,5000,AMOLED,1,7,8200
Samsung,Samsung,6,64,5000,LCD,1,10,10990
Snapdragon,Samsung,3,32,5000,LCD,1,10,7898
MediaTek,Infinix,2,32,5000,LCD,1,11,6999
MediaTek,Infinix,6,64,6000,LCD,1,11,10999
MediaTek,Infinix,4,64,5000,LCD,1,10,11999
MediaTek,Infinix,8,128,5000,LCD,1,11,15999
MediaTek,Infinix,2,32,5000,LCD,1,11,7199
MediaTek,Infinix,8,256,5000,LCD,1,11,16999
MediaTek,Infinix,2,32,5000,LCD,1,10,8999
MediaTek,Infinix,4,64,5000,LCD,1,9,9999
MediaTek,Infinix,4,64,5000,LCD,1,9,10999
MediaTek,Infinix,8,128,4500,AMOLED,1,12,17999
MediaTek,Infinix,2,64,5000,LCD,1,11,7499
MediaTek,Infinix,6,128,5000,LCD,1,11,12499
MediaTek,Infinix,4,64,5000,LCD,1,9,10999
MediaTek,Infinix,4,64,5000,LCD,1,8,12999
MediaTek,Infinix,2,16,5000,LCD,1,8,6999
MediaTek,Infinix,2,32,5000,LCD,1,10,7499
MediaTek,Infinix,3,32,5000,LCD,1,7,7499
MediaTek,Infinix,3,16,5000,LCD,1,6,7499
MediaTek,vivo,6,128,5000,LCD,1,10,18990
Snapdragon,vivo,4,32,5000,LCD,1,8,19990
MediaTek,vivo,12,256,4200,AMOLED,1,12,28990
MediaTek,vivo,4,64,5000,LCD,1,11,13990
Snapdragon,vivo,3,64,5000,LCD,1,11,9999
Snapdragon,vivo,6,128,5000,LCD,1,9,20990
MediaTek,vivo,8,256,4000,AMOLED,1,11,23745
Snapdragon,vivo,8,256,4200,AMOLED,1,10,34990
Snapdragon,vivo,8,128,5000,AMOLED,1,9,24990
MediaTek,vivo,3,64,5000,LCD,1,8,14990
MediaTek,vivo,3,64,5000,LCD,1,12,8899
MediaTek,vivo,3,32,5000,LCD,1,11,9137
MediaTek,Samsung,6,128,5000,LCD,1,10,12998
MediaTek,Samsung,4,32,5000,LCD,1,7,19900
MediaTek,Samsung,8,128,5000,AMOLED,1,11,20989
MediaTek,Samsung,3,32,5000,LCD,1,10,7999
Samsung,Samsung,6,128,5000,LCD,1,10,14990
Samsung,Samsung,8,128,4000,AMOLED,1,10,22499
Samsung,Samsung,8,128,5000,AMOLED,1,10,18325
MediaTek,Samsung,3,32,5000,LCD,1,9,11000
Samsung,Samsung,1,16,5000,LCD,1,9,5900
Samsung,Samsung,4,64,5000,AMOLED,1,8,9999
Snapdragon,Samsung,4,64,5000,LCD,1,10,10788
Samsung,Samsung,6,128,5000,LCD,1,12,10999
Samsung,Samsung,6,128,5000,LCD,1,11,10999
Samsung,Samsung,4,64,5000,LCD,1,11,11970
Samsung,Samsung,6,128,5000,AMOLED,1,10,17499
Samsung,Samsung,6,128,5000,AMOLED,1,10,16590
Snapdragon,Infinix,3,32,5000,LCD,1,8,9999
MediaTek,Infinix,3,32,5000,LCD,1,8,6549
MediaTek,Infinix,6,64,5000,LCD,1,7,17999
Snapdragon,vivo,4,64,5000,LCD,1,9,13990
MediaTek,vivo,3,32,5000,LCD,1,7,14990
Snapdragon,vivo,6,128,5000,LCD,1,12,16990
Snapdragon,vivo,6,64,5000,LCD,1,9,17990
MediaTek,vivo,8,256,4600,AMOLED,1,13,31999
Snapdragon,vivo,3,64,5000,LCD,1,11,8890
Snapdragon,Samsung,4,64,5000,LCD,1,10,8999
Samsung,Samsung,3,16,5000,LCD,1,6,11200
Samsung,Samsung,6,128,5000,LCD,1,12,11799
Samsung,Samsung,4,64,5000,AMOLED,1,8,10599
Samsung,Samsung,3,64,5000,LCD,1,6,11599
Samsung,Samsung,3,32,5000,AMOLED,1,6,25900
Samsung,Samsung,12,256,5000,AMOLED,1,9,34999
MediaTek,vivo,8,128,5000,LCD,1,13,17999
MediaTek,Samsung,4,128,6000,AMOLED,1,14,13999
MediaTek,Infinix,8,256,5000,AMOLED,1,14,15999
MediaTek,Samsung,6,128,6000,AMOLED,1,14,14499
Samsung,Samsung,4,64,5000,AMOLED,1,8,16490
MediaTek,Infinix,12,256,4600,AMOLED,1,14,18999
MediaTek,vivo,3,64,5000,LCD,1,11,13900
Snapdragon,Samsung,8,256,3700,AMOLED,1,12,97999
Samsung,Samsung,6,64,5000,AMOLED,1,7,34000
MediaTek,vivo,4,128,5000,LCD,1,13,11999
Samsung,Samsung,6,128,5000,AMOLED,1,9,15490
Snapdragon,OnePlus,8,256,6800,AMOLED,1,15,31999
Snapdragon,POCO,12,256,7550,AMOLED,1,15,31999
Snapdragon,OPPO,8,128,7000,AMOLED,1,15,17760
Snapdragon,iQOO,8,128,7300,AMOLED,1,15,21998
MediaTek,OPPO,8,256,6000,LCD,1,15,37999
Snapdragon,OnePlus,12,256,5850,LCD,1,15,54998
Snapdragon,iQOO,8,128,6400,AMOLED,1,15,26998
Snapdragon,iQOO,8,128,7000,AMOLED,1,15,31998
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
Snapdragon,realme,6,128,6000,AMOLED,1,15,16989
Snapdragon,OnePlus,8,256,6800,AMOLED,1,15,31999
MediaTek,realme,6,128,6000,LCD,1,15,13999
Snapdragon,realme,8,256,5500,AMOLED,1,14,34199
Snapdragon,POCO,6,128,5160,LCD,1,14,9499
MediaTek,OPPO,8,128,5800,LCD,1,15,17998
Snapdragon,Xiaomi,8,128,5100,AMOLED,1,13,20948
Snapdragon,Xiaomi,4,64,5160,LCD,1,14,9498
MediaTek,realme,8,128,6000,LCD,1,15,18999
MediaTek,realme,8,256,7000,AMOLED,1,15,34998
MediaTek,realme,8,128,6000,LCD,1,15,23979
MediaTek,OPPO,8,128,5600,AMOLED,1,15,33999
Snapdragon,OnePlus,8,128,5500,LCD,1,14,39999
Snapdragon,iQOO,4,128,6000,LCD,1,14,11999
Snapdragon,Xiaomi,12,512,5240,LCD,1,15,64998
MediaTek,POCO,8,256,5000,AMOLED,1,14,19999
MediaTek,OPPO,8,128,5000,AMOLED,1,14,18749
MediaTek,realme,8,128,6000,AMOLED,1,15,15598
Snapdragon,realme,8,128,5200,LCD,1,14,18415
Snapdragon,OnePlus,8,256,6800,AMOLED,1,15,31999
Snapdragon,OnePlus,12,256,5400,LCD,1,14,51997
MediaTek,OPPO,12,256,5800,AMOLED,1,15,49999
Snapdragon,Xiaomi,4,64,5160,LCD,1,14,8499
MediaTek,Xiaomi,6,128,5000,AMOLED,1,13,16999
Snapdragon,POCO,8,256,5000,AMOLED,1,14,25990
Snapdragon,POCO,4,64,5160,LCD,1,14,7689
MediaTek,realme,6,128,6000,LCD,1,14,13790
Snapdragon,POCO,6,128,5030,LCD,1,14,10599
MediaTek,OPPO,6,128,6000,LCD,1,15,15499
MediaTek,realme,4,128,6000,LCD,1,15,11960
MediaTek,OPPO,12,256,5630,LCD,1,15,69999
MediaTek,realme,6,128,6000,LCD,1,15,12998
MediaTek,OPPO,12,256,5000,AMOLED,1,14,31500
MediaTek,OPPO,16,512,5910,LCD,1,15,87999
MediaTek,Xiaomi,8,256,5000,AMOLED,1,13,24999
Snapdragon,iQOO,12,256,5000,AMOLED,1,14,54989
MediaTek,realme,4,128,6000,LCD,1,15,10498
Snapdragon,realme,8,128,5200,LCD,1,14,19804
MediaTek,OPPO,6,128,5100,LCD,1,14,12590
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
Snapdragon,OnePlus,8,128,5000,AMOLED,1,13,39999
MediaTek,realme,6,128,5000,AMOLED,1,14,13999
Snapdragon,OPPO,8,256,7000,AMOLED,1,15,19999
MediaTek,OnePlus,8,128,5000,AMOLED,1,13,20998
Snapdragon,OnePlus,8,128,5000,AMOLED,1,13,23499
MediaTek,realme,4,64,6000,LCD,1,15,10448
Snapdragon,OnePlus,8,128,5000,AMOLED,1,13,38900
Snapdragon,realme,8,128,5200,LCD,1,14,20236
MediaTek,realme,8,128,5000,LCD,1,14,14999
MediaTek,OPPO,8,128,5000,AMOLED,1,14,22400
Snapdragon,OnePlus,8,128,5000,AMOLED,1,12,49999
Snapdragon,iQOO,16,512,6000,AMOLED,1,15,59998
MediaTek,realme,8,128,5000,LCD,1,14,14649
MediaTek,POCO,12,256,6550,AMOLED,1,15,25499
MediaTek,OPPO,4,64,5100,LCD,1,14,10998
Snapdragon,Xiaomi,8,256,4600,AMOLED,1,12,34450
Snapdragon,realme,8,128,5000,AMOLED,1,14,29999
Snapdragon,OnePlus,24,1,6000,AMOLED,1,15,89997
Snapdragon,OnePlus,8,256,6800,AMOLED,1,15,31999
Snapdragon,Xiaomi,12,512,4610,AMOLED,1,14,56949
MediaTek,Xiaomi,6,128,5000,AMOLED,1,12,15999
MediaTek,POCO,8,128,5000,AMOLED,1,13,13890
MediaTek,OPPO,8,128,6000,LCD,1,15,14158
Snapdragon,OnePlus,8,256,5500,AMOLED,1,14,29999
Snapdragon,OnePlus,8,128,4500,AMOLED,1,11,24998
Snapdragon,POCO,8,256,5100,AMOLED,1,13,18799
Snapdragon,iQOO,8,256,6400,AMOLED,1,15,28998
MediaTek,OPPO,8,128,5000,LCD,1,14,19900
Snapdragon,POCO,4,64,5000,LCD,1,13,10999
Snapdragon,Xiaomi,12,512,6200,AMOLED,1,14,33489
MediaTek,OnePlus,8,128,5000,AMOLED,1,12,27500
MediaTek,iQOO,8,256,6000,LCD,1,15,12998
MediaTek,Xiaomi,4,128,5000,LCD,1,13,9889
MediaTek,OPPO,8,128,5100,LCD,1,14,15490
Snapdragon,realme,8,128,5000,AMOLED,1,14,24990
MediaTek,realme,8,128,5000,LCD,1,14,22999
MediaTek,iQOO,4,128,5000,LCD,1,14,10499
Snapdragon,Xiaomi,4,128,5000,LCD,1,13,12999
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
MediaTek,Xiaomi,6,64,5000,LCD,1,11,11499
MediaTek,iQOO,8,128,6500,LCD,1,15,14998
MediaTek,realme,8,128,5000,AMOLED,1,14,19490
Snapdragon,Xiaomi,4,128,5000,AMOLED,1,12,13499
MediaTek,realme,4,128,5000,LCD,1,14,13999
MediaTek,OPPO,12,256,4600,AMOLED,1,14,30900
Snapdragon,POCO,12,512,7550,AMOLED,1,15,33999
Snapdragon,iQOO,8,256,7300,AMOLED,1,15,23998
MediaTek,realme,8,128,5000,AMOLED,1,13,23999
MediaTek,realme,4,128,5000,LCD,1,14,13490
MediaTek,POCO,8,256,5110,AMOLED,1,14,14899
Snapdragon,iQOO,8,128,5000,AMOLED,1,13,35391
Snapdragon,Xiaomi,8,128,5000,AMOLED,1,11,22990
MediaTek,realme,4,64,5000,LCD,1,13,10999
Snapdragon,Xiaomi,12,256,4820,AMOLED,1,13,59990
Snapdragon,iQOO,16,512,5000,AMOLED,1,14,49990
MediaTek,realme,12,256,5000,LCD,1,14,16490
MediaTek,realme,8,256,5000,AMOLED,1,13,27999
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
MediaTek,Xiaomi,4,128,5000,LCD,1,13,9999
Snapdragon,POCO,8,128,5160,LCD,1,14,10498
MediaTek,realme,16,512,7000,AMOLED,1,15,49998
Snapdragon,OPPO,8,128,4500,AMOLED,1,12,20999
MediaTek,Xiaomi,6,64,5000,LCD,1,9,9900
MediaTek,iQOO,8,256,6500,LCD,1,15,16498
MediaTek,Xiaomi,4,64,5000,LCD,1,10,11499
MediaTek,POCO,4,128,5000,LCD,1,13,9299
MediaTek,realme,8,128,5000,AMOLED,1,12,20390
MediaTek,realme,8,128,5000,AMOLED,1,14,20999
MediaTek,realme,4,128,5000,LCD,1,14,10652
MediaTek,OPPO,8,128,5000,LCD,1,13,15999
MediaTek,realme,4,128,5000,AMOLED,1,11,10990
Snapdragon,POCO,12,256,5000,AMOLED,1,14,31999
MediaTek,POCO,4,64,5000,LCD,1,14,6799
Snapdragon,realme,12,256,5500,AMOLED,1,14,31999
Snapdragon,OnePlus,8,256,6800,AMOLED,1,15,31999
Snapdragon,realme,8,256,6000,AMOLED,1,15,18499
Snapdragon,realme,16,512,5800,AMOLED,1,15,54999
Snapdragon,realme,6,128,4300,AMOLED,1,11,20990
Snapdragon,Xiaomi,12,512,4700,AMOLED,1,14,31999
MediaTek,Xiaomi,6,64,5000,AMOLED,1,11,14999
Snapdragon,OPPO,12,256,4700,AMOLED,1,13,44999
Snapdragon,Xiaomi,4,64,5000,LCD,1,9,7999
Snapdragon,OnePlus,16,512,6000,AMOLED,1,15,47997
MediaTek,OPPO,4,128,5000,LCD,1,13,14990
Snapdragon,OPPO,8,128,4800,AMOLED,1,13,38999
MediaTek,OnePlus,8,256,7100,AMOLED,1,15,25999
Snapdragon,POCO,8,128,5030,LCD,1,14,10799
MediaTek,Xiaomi,8,256,4980,AMOLED,1,12,29999
MediaTek,OPPO,8,128,5000,LCD,1,13,18449
Snapdragon,realme,8,256,6000,AMOLED,1,15,20999
Snapdragon,OPPO,4,64,5100,LCD,1,14,8999
Snapdragon,realme,6,128,5000,LCD,1,13,18990
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
Snapdragon,iQOO,6,128,6000,LCD,1,14,13499
Snapdragon,Xiaomi,4,64,5000,LCD,1,9,9399
MediaTek,OPPO,12,512,6200,LCD,1,15,54999
Snapdragon,realme,12,512,5200,LCD,1,14,23999
Snapdragon,Xiaomi,6,128,5000,AMOLED,1,11,20999
MediaTek,realme,6,128,5000,LCD,1,14,16999
MediaTek,Xiaomi,6,128,5080,LCD,1,12,22999
Snapdragon,OnePlus,12,512,5850,LCD,1,15,59998
MediaTek,realme,6,128,5000,LCD,1,14,13999
Snapdragon,OnePlus,8,256,5500,AMOLED,1,14,24998
MediaTek,OPPO,12,512,5000,AMOLED,1,14,33999
MediaTek,Xiaomi,4,128,5000,LCD,1,13,9999
MediaTek,realme,8,256,6000,AMOLED,1,15,17700
MediaTek,realme,8,128,5000,LCD,1,14,13999
Snapdragon,iQOO,12,256,7300,AMOLED,1,15,25998
Snapdragon,Xiaomi,4,64,5000,LCD,1,7,9299
MediaTek,POCO,8,256,5500,AMOLED,1,14,18999
Snapdragon,OPPO,8,256,5000,LCD,1,13,21899
MediaTek,OPPO,6,128,6000,LCD,1,15,13123
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
MediaTek,POCO,6,64,5000,AMOLED,1,11,11990
MediaTek,realme,4,128,5000,LCD,1,14,10750
Snapdragon,iQOO,16,512,7000,AMOLED,1,15,40998
Snapdragon,OnePlus,8,256,5500,AMOLED,1,14,20996
MediaTek,OPPO,12,256,5000,AMOLED,1,14,32222
MediaTek,Xiaomi,6,64,5000,AMOLED,1,11,10999
MediaTek,OPPO,8,256,5000,AMOLED,1,14,20749
Snapdragon,Xiaomi,6,128,5160,LCD,1,14,11498
MediaTek,OPPO,8,256,5000,AMOLED,1,9,20980
MediaTek,iQOO,6,128,6000,LCD,1,15,10998
Snapdragon,Xiaomi,4,64,5000,LCD,1,10,8199
Snapdragon,Xiaomi,8,256,6200,AMOLED,1,14,29999
MediaTek,realme,6,128,6000,LCD,1,15,11498
Snapdragon,Xiaomi,6,128,5160,LCD,1,14,9799
MediaTek,Xiaomi,6,128,5000,AMOLED,1,11,14990
Snapdragon,OnePlus,16,512,6000,AMOLED,1,15,76997
MediaTek,realme,6,128,4500,AMOLED,1,12,22499
MediaTek,realme,8,256,6000,AMOLED,1,15,26999
MediaTek,Xiaomi,6,128,5160,AMOLED,1,11,20900
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
Snapdragon,OnePlus,12,256,6800,AMOLED,1,15,34999
Snapdragon,iQOO,8,128,5160,AMOLED,1,14,31999
MediaTek,realme,12,256,5000,LCD,1,14,22774
Snapdragon,OnePlus,8,256,5000,LCD,1,13,18499
MediaTek,OnePlus,12,256,7100,AMOLED,1,15,28999
Snapdragon,Xiaomi,4,64,5000,AMOLED,1,11,12999
Snapdragon,realme,12,256,5200,LCD,1,14,20943
Snapdragon,POCO,4,128,5160,LCD,1,14,9499
Snapdragon,realme,8,128,4500,AMOLED,1,11,21998
Snapdragon,realme,8,128,6000,AMOLED,1,15,17498
Snapdragon,realme,6,128,5000,AMOLED,1,12,21996
MediaTek,Xiaomi,2,32,5000,LCD,1,10,6749
MediaTek,realme,8,128,5000,LCD,1,13,18999
Snapdragon,realme,8,256,5500,AMOLED,1,14,28990
MediaTek,POCO,12,512,5000,AMOLED,1,14,28999
Snapdragon,Xiaomi,4,128,5160,LCD,1,14,9499
MediaTek,realme,12,256,7000,AMOLED,1,15,37998
MediaTek,POCO,12,256,5000,AMOLED,1,13,15710
Snapdragon,OnePlus,12,512,6800,AMOLED,1,15,37999
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
Snapdragon,realme,12,256,6000,AMOLED,1,15,22999
MediaTek,Xiaomi,3,64,5000,LCD,1,13,9999
MediaTek,realme,8,128,6000,LCD,1,14,15198
Snapdragon,iQOO,4,64,5000,LCD,1,12,12999
MediaTek,POCO,4,128,5000,LCD,1,13,9999
Snapdragon,Xiaomi,4,64,6000,LCD,1,11,9999
MediaTek,OPPO,4,64,5000,LCD,1,12,9599
MediaTek,OPPO,8,128,4350,AMOLED,1,11,27100
MediaTek,realme,4,128,5000,LCD,1,13,11999
Snapdragon,OnePlus,16,256,5500,LCD,1,14,42999
Snapdragon,POCO,6,64,6000,LCD,1,10,8999
MediaTek,iQOO,8,256,5500,AMOLED,1,14,20998
MediaTek,realme,8,256,5000,LCD,1,14,15949
Snapdragon,OnePlus,16,512,5400,LCD,1,14,58728
Snapdragon,POCO,6,128,5000,AMOLED,1,12,16990
MediaTek,realme,4,128,5000,LCD,1,13,12999
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
MediaTek,realme,6,128,6000,LCD,1,15,13399
Snapdragon,realme,12,512,6000,LCD,1,15,36000
MediaTek,realme,8,128,6000,LCD,1,15,13998
MediaTek,Xiaomi,4,64,5000,LCD,1,11,14499
Snapdragon,iQOO,12,256,7000,AMOLED,1,15,35998
Snapdragon,iQOO,8,256,7000,AMOLED,1,15,33998
Snapdragon,Xiaomi,4,64,5000,AMOLED,1,9,9490
Snapdragon,realme,8,256,5200,AMOLED,1,14,23999
MediaTek,OPPO,4,128,5000,LCD,1,13,11690
Snapdragon,POCO,12,256,5000,AMOLED,1,13,21990
Snapdragon,OPPO,8,128,4500,AMOLED,1,12,16999
MediaTek,realme,4,64,5000,LCD,1,11,9950
MediaTek,OPPO,4,64,5000,LCD,1,12,10600
MediaTek,realme,12,256,5000,LCD,1,14,16999
Snapdragon,OnePlus,8,256,5500,LCD,1,14,40999
Snapdragon,realme,6,128,5000,AMOLED,1,12,20990
MediaTek,Xiaomi,4,64,5000,LCD,1,12,9999
Snapdragon,realme,8,256,5200,LCD,1,14,23999
MediaTek,realme,4,128,6000,LCD,1,15,11130
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
Snapdragon,POCO,8,128,4500,AMOLED,1,12,17990
Snapdragon,realme,8,256,6000,LCD,1,15,31999
MediaTek,Xiaomi,8,128,5160,AMOLED,1,11,18990
MediaTek,OPPO,8,128,6000,LCD,1,15,16999
Snapdragon,OPPO,8,128,5000,AMOLED,1,13,16750
MediaTek,realme,3,32,6000,LCD,1,10,7899
MediaTek,OPPO,3,64,5000,LCD,1,12,8280
MediaTek,Xiaomi,2,16,5000,LCD,1,8,5999
Snapdragon,POCO,8,128,5160,LCD,1,11,12390
MediaTek,OPPO,4,64,5000,LCD,1,13,10990
Snapdragon,POCO,12,512,5000,AMOLED,1,14,28990
Snapdragon,realme,12,256,5000,AMOLED,1,12,29499
Snapdragon,iQOO,8,128,4350,AMOLED,1,12,42990
MediaTek,Xiaomi,12,512,5000,AMOLED,1,13,28999
MediaTek,POCO,4,64,5000,LCD,1,12,8990
MediaTek,Xiaomi,8,128,5110,AMOLED,1,14,17999
MediaTek,OPPO,12,512,5800,AMOLED,1,15,54999
Snapdragon,realme,8,256,5000,LCD,1,14,18399
MediaTek,realme,4,64,5000,LCD,1,11,17960
Snapdragon,OnePlus,8,256,6800,AMOLED,1,15,31999
MediaTek,realme,8,128,6000,LCD,1,15,13760
MediaTek,realme,8,128,4500,AMOLED,1,10,29999
MediaTek,OPPO,8,256,5100,LCD,1,14,16450
Snapdragon,OPPO,8,128,5000,LCD,1,11,13999
Snapdragon,OPPO,8,256,6500,AMOLED,1,15,25998
Snapdragon,realme,12,256,5500,AMOLED,1,14,28999
MediaTek,realme,12,256,6000,AMOLED,1,15,26999
MediaTek,POCO,4,64,5000,LCD,1,12,12499
Snapdragon,Xiaomi,4,128,5160,LCD,1,14,10498
MediaTek,Xiaomi,12,256,5000,AMOLED,1,13,17499
Snapdragon,realme,12,512,5200,AMOLED,1,14,26999
MediaTek,POCO,4,64,5000,LCD,1,12,12999
MediaTek,realme,4,64,5000,LCD,1,11,9999
MediaTek,Xiaomi,8,256,5000,AMOLED,1,13,16999
Snapdragon,Xiaomi,4,64,5000,LCD,1,8,8380
Snapdragon,Xiaomi,6,64,5000,AMOLED,1,13,13450
Snapdragon,Xiaomi,2,16,5000,LCD,1,9,6200
Snapdragon,Xiaomi,8,128,4520,AMOLED,1,11,33499
MediaTek,realme,12,256,4500,AMOLED,1,12,27990
MediaTek,OnePlus,8,128,7100,AMOLED,1,15,22999
MediaTek,POCO,3,32,5000,LCD,1,10,6490
MediaTek,OPPO,8,256,6000,AMOLED,1,15,29998
Snapdragon,Xiaomi,6,128,5000,LCD,1,10,19499
MediaTek,OPPO,8,256,5600,AMOLED,1,15,37999
MediaTek,POCO,4,64,5000,LCD,1,13,8499
MediaTek,realme,8,256,5000,AMOLED,1,12,22790
Snapdragon,Xiaomi,6,128,4250,AMOLED,1,11,21899
MediaTek,OPPO,8,256,5100,LCD,1,14,17999
MediaTek,realme,8,256,5000,AMOLED,1,14,15999
MediaTek,OPPO,6,128,5000,LCD,1,13,12990
MediaTek,realme,12,512,7000,AMOLED,1,15,41998
Snapdragon,iQOO,12,256,5160,AMOLED,1,14,35999
Snapdragon,Xiaomi,8,256,5000,LCD,1,13,14499
MediaTek,POCO,6,128,5000,LCD,1,12,8299
